type;id;name
way;Q26387;Aalstraße
way;Q42292;Ahornweg
way;Q5861969;Akazienweg
way;;Aktienstraße
way;Q173;Alabama Circle
way;Q173;Alabama-Street
way;Q797;Alaska-Drive
way;;Alemannenstraße
way;;Alleestraße
way;;Almenweg
way;;Alte Brücke
way;;Alte Hohl
way;;Alte Schmiede
way;;Alte Ziegelei
way;;Altenwoogstraße
way;;Altes Forsthaus
way;;Altwiesstraße
way;;Am Alten Friedhof
way;;Am Altenhof
way;;Am Belzappel
way;;Am Berg
way;;Am Bild
way;;Am Brunnenberg
way;;Am Buchenwald
way;;Am Dachsbau
way;;Am Engelshof
way;Q1367456;Am Eselsbach
way;;Am Eulenberg
way;;Am Fischerrück
way;;Am Franzosenstein
way;;Am Glockenturm
way;;Am Gottesacker
way;;Am Gusswerk
way;;Am Haberbrünnchen
way;;Am Hallergarten
way;;Am Hammerweiher
way;;Am Handballplatz
way;;Am Hang
way;;Am Harzhübel
way;;Am Heiligenhäuschen
way;;Am Herrenzaun
way;;Am Hinkelstein
way;;Am Höfchen
way;;Am Jörgsbild
way;;Am Kiefernkopf
way;;Am Krehberg
way;;Am Landgraben
way;;Am Langen Stein
way;;Am Matzenberg
way;;Am Messeplatz
way;;Am Mühlberg
way;;Am Mühlpfad
way;;Am Nußbäumchen
way;;Am Obergarten
way;;Am Oberhof
way;;Am Rabenfels
way;;Am Rangierbahnhof
way;;Am Röhrbrunnen
way;;Am Sandhübel
way;;Am Schänzchen
way;;Am Schlachtenturm
way;;Am Schlagbaum
way;;Am Schlehhof
way;;Am Schlittweg
way;;Am Schlosshübel
way;;Am Schmiedeturm
way;;Am Schulhaus
way;;Am Schwanenweiher
way;;Am Specht
way;;Am Sportplatz
way;;Am Steinhübel
way;;Am Stollen
way;;Am Stromberg
way;;Am Turnerheim
way;;Am Wäldchen
way;;Am Waldschlösschen
way;;Am Warmfreibad
way;;Am Weidengarten
way;;Am Wingertsberg
way;;Am Woogdamm
way;;Am Wurzelwoog
way;;Am Zimmermannskreuz
way;Q25234;Amselstraße
way;;An der Bordmühle
way;;An der Burghalde
way;;An der Feuerwache
way;;An der Galappmühle
way;;An der Kalause
way;;An der Lokhalle
way;;An der Schanz
way;;An der Sommerhalde
way;;An der Steige
way;;An der Turnhalle
way;;Apfelstraße
way;Q816;Arizona-Boulevard
way;Q816;Arizona-Street
way;Q1612;Arkansas-Street
way;;Asternweg
way;;Ätzweide
way;;Auf dem Bännjerrück
way;;Auf dem Seß
way;;Auf den Gärten
way;;Auf der Brücke
way;;Auf der Hohl
way;;Auf der Pirsch
way;;Auf der Rott
way;;Auf der Vogelweide
way;;Baalborner Weg
way;;Bachstraße
way;;Bäckerstraße
way;;Badstraße
way;;Badweiherstraße
way;;Bahnheim
way;;Bahnhofstraße
way;Q631166;Bännjerstraße
way;;Bartholomäusring
way;;Basteigasse
way;;Baumschulstraße
way;;Baumstraße
way;Q1010930;Beilsteinstraße
way;;Bergstraße
way;Q64;Berliner Straße
way;;Bienengarten
way;;Bienenstraße
way;;Bierstraße
way;Q25243;Birkengasse
way;Q434;Birnstraße
way;;Blechhammerweg
way;;Bleichstraße
way;;Bliesstraße
way;;Blumenstraße
way;;Blütenweg
way;Q3931;Brandenburger Straße
way;Q1011158;Breidenborner Straße
way;;Breitenäcker
way;;Breitenauer straße
way;;Bremerhof
way;;Bremerstraße
way;Q1799;Breslauer Straße
way;;Brüchling
way;;Bruchstraße
way;;Brüderstraße
way;;Brunnenhübel
way;;Brunnenring
way;;Brunnenstraße
way;Q239;Brüsseler Straße
way;;Buchberg
way;;Buchenheckenstraße
way;;Buchenlochstraße
way;Q25383;Buchfinkstraße
way;Q212713;Bunkyo-Ku-straße
way;;Burggraben
way;;Burgherrenstraße
way;;Burgstraße
way;;Burgunderstraße
way;Q99;California-Avenue
way;;Carmerstraße
way;;Carolina-Avenue
way;Q1261;Colorado-Avenue
way;Q1261;Colorado-Court
way;Q1261;Colorado-Place
way;Q1261;Colorado-Street
way;Q38453;Columbia-straße
way;Q779;Conneticut-Avenue
way;;Dachsdelle
way;Q130918;Dahlienweg
way;;Dammstraße
way;;Dammühle
way;;Dansenberger straße
way;Q1792;Danziger Straße
way;;Dauborner Weg
way;Q26887;Davenportplatz
way;Q1393;Delaware-Loop
way;Q487070;Dessauer Straße
way;;Deutschherrnstraße
way;;Distelstraße
way;Q22547;Donnersbergstraße
way;;Dornenstraße
way;Q28335204;Douzystraße
way;;Drei Linden
way;;Dreispitze
way;;Drei-Steine-Ring
